direction_of_transaction	definition
bilan	
bilan (adjustment)	
bilan de sortie	
catalogue	
commission	
in	
in (assumed printing)	
in (durand commission)	
in (found)	
in (other)	
in (printing)	
in (profit and loss)	
in (recount)	
in (rétiré)	
in (return)	
in (transfer)	
out	
out (binders)	
out (durand commission)	
out (faults)	
out (free gifts)	
out (inferred)	
out (lost)	
out (missing)	
out (other)	
out (profit and loss)	
out (return)	
out (transfer)	
returned before arrival	
sales ms1003	
stock take	
