year,sheets_transacted
1769,6000
1770,527935.4444444445
1771,596881.6666666667
1772,542026.8888888889
1773,1281339
1774,652246
1775,533794
1776,258113
1777,839753.5
1778,230269
1779,2062962
1780,416353
1781,896604
1782,2768277.3333333335
1783,1633824
1784,267240
1785,177102.5
1786,48596
1787,200516
1788,40580
1789,NA
1790,12250
1791,2100
1792,NA
1793,NA
1794,NA
