work_code	balance	actually_printed	assumed_printed	other_in	out	stocktakes	full_book_title
spbk0000326	0	0	780	0	-780		"Chrétien (le) par conviction et par sentiment, ou La Foi sans incertitude et la piété sans superstition"
spbk0000445	0	1000	0	0	-1000		Correspondance universelle sur ce qui intéresse le bonheur de l'homme et de la société
spbk0001373	0	0	1582	0	-1582		"Lettres d'Elisabeth Sophie de Vallière à Louise Hortence de Canteleu, son amie"
spbk0001418	0	0	995	8	-1003	1	Lettres du comte Algarotti sur la Russie
spbk0001698	0	0	509	0	-509		Méthode analytique pour apprendre philosophiquement les langues & principalement la langue françoise
spbk0002278	0	0	2000	0	-2000		Tableau de la monarchie française [discours préliminaire]
spbk0002300	0	0	1563	1	-1564		Testament politique de l'Angleterre
spbk0003621	0	1000	108	0	-1108		Discours au roi
spbk0003726	0	0	825	0	-825		[Réponse à M.Mallet sur Genève]
spbk0003804	0	200	0	0	-200		Essai sur la prévention
spbk0003820	0	200	0	0	-200		[Thèses de Répécaud]
spbk0003834	0	0	1250	0	-1250		"Recès de la Diète des douze anciens cantons des Ligues suisse, tenue à Baden le 10 juillet 1549, envoyé au duc de Guise, gouverneur du duché de Bourgogne, pour faire jouir des exemptions du péage les gens du comté de Neuchâtel, comme faisant partie des Ligues suisses"
spbk0003854	0	400	0	0	-400		[Histoire de Chalons]
spbk0004056	0	200	0	0	-200		Histoire de Pontus de Thyard de Bissy; suivie de la Généalogie de cette maison et de la Relation de la compagne de 1664 en Hongrie
spbk0004277	0	0	804	0	-804	13	Histoire de deux jeunes amies
spbk0000127	1	0	346	4	-349	21; 12; 12	"Apologie du marquis de Fogliani, ci-devant vice roi de Naples"
spbk0000960	1	0	1035	1	-1035	1033; 1	Gouvernement (du) et des loix de la Pologne
spbk0001587	1	0	1038	0	-1037	8	"Mizrim, ou Le sage à la cour: histoire égyptienne"
spbk0002159	1	0	1024	0	-1023	7	"Sang (le) innocent vengé, ou Discours sur les réparations dues aux accusés innocens"
spbk0002983	1	0	509	0	-508	5; 5	Hollandois (un) aux habitans de la Grande-Bretagne
spbk0004083	1	0	1034	0	-1033	1	"Soldat (le) citoyen, ou Vues patriotiques sur la manière la plus avantageuse de pourvoir à la défense du royaume"
spbk0000259	2	0	1268	0	-1266	2	"Café (le) politique de Londres, ou Pasquin dans la loge des Anti-Gallicans à Londres"
spbk0001110	2	0	300	0	-298	3	Histoire de la guerre et des négociations qui ont précédé le traité de Teschen
spbk0001238	2	0	1040	0	-1038	20	"Indépendant (un) à l'ordre des avocats, sur la décadence du barreau en France"
spbk0003696	3	0	2043	0	-2040	3	Extrait du journal d'un officier de la Marine de l'escadre de M. le comte d'Estaing
spbk0003626	4	0	771	6	-773	444; 213	"Nouvelles (les) découvertes des Russes entre l'aise & l'Amérique, avec l'histore de la conquete de la Sibérie & du commerce des Russes & des Chinois traduit de l'Angloise de Cox"
spbk0000421	5	0	4166	3	-4164	25	"Contrat conjugal, ou Loix du mariage, de la répudiation et du divorce, avec une dissertation sur l'origine et le droit des dispenses"
spbk0002644	5	0	1754	63	-1812	19; 2	"Liturgie (la) ou La manière de célébrer le service divin, comme elle est établie dans les églises de la principauté de Neuchâtel et Valengin"
spbk0000029	6	0	1033	0	-1027	6	"Adelaïde, ou Mémoires de la marquise de M*** écrits par elle-même"
spbk0000361	6	1000	1039	100	-2133	2111; 20	Comments (les)
spbk0001288	6	0	1031	0	-1025		"Jardins (les), ou L'art d'embellir les paysages: poème"
spbk0001476	6	2289	0	33	-2316	2250; 1167; 327	Londres
spbk0002485	6	0	3576	112	-3682	1188; 1188; 2; 2; 628; 382; 22; 10; 54; 100	Voyage en Sicile et à Malthe
spbk0002032	9	0	612	12	-615	1; 12; 10	Recherches philosophiques sur le droit de la propriété considéré dans la nature
spbk0000481	10	0	791	0	-781	666; 50	"Dangers (les) de la calomnie, ou Mémoires de Fanny Spingler: histoire angoise"
spbk0001346	10	0	777	50	-817	150; 150; 91; 32; 8; 30; 17; 25; 6; 5	Legs d'un père à ses filles
spbk0002623	11	0	2200	190	-2379	575	Dieu. Réponse de M. de Voltaire au systême de la nature
spbk0003342	15	0	430	45	-460	263; 260; 74; 1; 13; 17	"Elémens de la morale universelle, ou Tableau des devoirs de l'homme, considéré dans tous ses rapports"
spbk0000685	17	250	0	11	-244	23; 2; 1	"Eloge de Louis XV, prononcé dans une académie le 25 mai 1774"
spbk0003544	17	0	611	68	-662	419; 165; 244; 154; 135; 6	"Voyage de Vienne à Belgrade et à Kilianova, dans le pays des Tartares Budziacs et Nogais, dans la Crimée et de Kaffa à Constantinople au travers de la mer Noire, avec le retour à Vienne par Trieste, fait dans les années 1768, 1769 et 1770 par Nicolas Ernest Kleemann... traduit de l'allemand"
spbk0000239	18	0	1020	0	-1002	1020	"Réponse du sieur Bourboulon... au Compte rendu au roi par M. Necker, directeur général des finances"
spbk0002457	18	0	9162	150	-9294	6966; 6840; 60	"Voyage au Pôle austral et autour du monde, fait sur les vaisseaux de roi l'Aventure & la Résolution en 1772, 1773, 1774 & 1775"
spbk0003627	18	1000	1076	5	-2063	2057; 13; 6	Lettre du marquis de Caraccioli à M. d'Alembert
spbk0002969	20	0	1684	428	-2092	660; 400; 148; 8; 12; 8	Histoire de Gil Blas de Santillane
spbk0003792	21	0	616	0	-595	70; 25	Sermons sur les dogmes fondamentaux de la religion naturelle
spbk0003658	26	1000	1023	27	-2024	1995; 28	"Observations modestes d'un citoyen sur les opérations de finances de M. Necker, et sur son compte rendu: adressées à MM. les pacifiques auteurs des Comment, des Pourquoi, et autres pamphlets anonymes"
spbk0001296	27	0	89	0	-62	70; 6; 35; 2; 16; 12	Jeu (le) des trois sept
spbk0005098	33	1036	0	7	-1010	496; 14; 11; 1; 1	"Supplément au voyage de M. de Bougainville ou Journal d'un voyage autour du monde fait par MM. Banks & Solander, Anglois, en 1768, 1769, 1770, 1771"
spbk0003422	35	0	68	0	-33	52; 1; 49	Recherches sur l'indigénat helvétique de la Principauté de Neuchâtel et Vallangin
spbk0002640	36	0	1580	2	-1546		"Voyage autour du monde, par le frégate du roi ""La Boudeuse"", et la flûte ""L'Étoile"", en 1766, 1767, 1768 & 1769"
spbk0001912	40	0	2518	103	-2581	2227; 62; 85	"Philosophe (le) du Port-au-bled: article du Journal de Paris, pour le 23 octobre 1781, de la lune le 7"
spbk0002416	45	2086	0	458	-2499	962; 982; 10; 4; 602; 162; 446; 292	Vie (la) et les opinions de Tristram Shandy
spbk0004054	50	50	0	5	-5		Subordination (la): sermon prononcé à Colombier le 17 septembre 1786 à l'occasion de la mort de Frédéric le Grand
spbk0001745	54	0	954	32	-932	82; 42; 2; 2	Observations sur le livre intitulé Système de la nature
spbk0001722	55	490	0	15	-450	2; 1; 3; 1	Nouveautés
spbk0001086	66	0	3084	136	-3154	1582; 806; 806; 604; 508; 2; 456; 124; 320; 94; 80; 60	"Histoire de François Wills, ou le Triomphe de la bienfaisance, par l'auteur du ""Ministre de Wakefied [sic]"". Traduction de l'anglois."
spbk0003535	71	1032	0	304	-1265	521; 8; 14; 77	"Correspondance d'un jeune militaire, ou Mémoires du Marquis de Luzigni et d'Hortense de Saint-Just"
spbk0000780	75	1043	0	110	-1078	503; 503; 30; 231; 125; 8; 142; 11; 132; 69; 64; 34	Essai philosophique sur le monachisme
spbk0001928	82	0	1017	1	-936	147; 118; 113; 88	Pièces intéressantes et peu connues pour servir à l'histoire
spbk0003404	87	1003	0	19	-935	381; 352; 288; 143; 132; 75; 66	Journal et anecdotes intéressantes du voyage de Monsieur le comte de Falckenstein
spbk0000825	88	0	1549	3	-1464	540; 296; 278	"Essais de géographie, de politique et d'histoire, sur les possessions de l'empereur des Turcs en Europe"
spbk0002957	96	0	2672	60	-2636	1524; 128; 128; 8; 4	Epreuves (les) du sentiment
spbk0001417	104	1034	2076	176	-3182	572; 572; 196; 126; 6; 9; 88; 51; 73	Lettres du Pape Clément XIV [Ganganelli]
spbk0002330	106	0	2026	154	-2074	1308; 432; 120; 78; 68	"Théâtre de société, par l'auteur du Théâtre à l'usage des jeunes personnes"
spbk0002625	110	1000	0	134	-1024	368; 145; 16; 16; 2	"Naufrage et aventures de M. Pierre Viaud, natif de Bordeaux, capitaine de navire"
spbk0003754	114	0	2162	179	-2227	364; 364; 130; 94; 60; 5; 37; 8; 3	"Requête au Conseil du Roi, pour M Linguet, avocat, contre les arrêts du Parlement de Paris, des 29 mars et 4 février 1775"
spbk0004022	118	0	1026	0	-908	1026; 282; 177	"Dictionnaire portatif de la campagne: comprenant les vrais noms de tous les instrumens, de leurs parties, de leurs usages, & autres objets surtout de la campagne que les savans même ne savent point exprimer en françois, quoiqu'ils les connoissent & en sachent l'usage"
spbk0003635	121	0	1007	9	-895	711; 150; 24; 421; 31; 25; 2	"Magasin nouveau des jeunes demoiselles, ou Conversations entre la Jeune Emilie et Sa Mere"
spbk0003152	127	505	0	27	-405	366; 87; 55; 55; 51; 51; 27; 6; 20; 15; 13	"Arminius, ou Les Chérusques"
spbk0000704	134	784	0	62	-712	350; 328; 328; 284; 248; 107; 20; 175; 148; 123	"Elémens d'oryctologie, ou Distribution méthodique des fossiles"
spbk0000230	136	0	7268	1694	-8826	146; 56; 16	Mon Bonnet de nuit
